[55/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[56/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[57/118] full=0.889  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[58/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[59/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.118  Δ(g-h)=+0.118
[60/118] full=0.000  kvzip_hkvd=0.083  kvzip_gated=0.200  Δ(g-h)=+0.117
[61/118] full=0.000  kvzip_hkvd=0.462  kvzip_gated=0.462  Δ(g-h)=+0.000
[62/118] full=0.167  kvzip_hkvd=0.154  kvzip_gated=0.261  Δ(g-h)=+0.107
[63/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[64/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[65/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[66/118] full=0.727  kvzip_hkvd=0.182  kvzip_gated=0.182  Δ(g-h)=+0.000
[67/118] full=0.571  kvzip_hkvd=0.667  kvzip_gated=0.667  Δ(g-h)=+0.000
[68/118] full=1.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[69/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[70/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[71/118] full=0.000  kvzip_hkvd=0.231  kvzip_gated=0.600  Δ(g-h)=+0.369
[72/118] full=1.000  kvzip_hkvd=0.600  kvzip_gated=0.600  Δ(g-h)=+0.000
[73/118] full=1.000  kvzip_hkvd=0.600  kvzip_gated=0.600  Δ(g-h)=+0.000
[74/118] full=1.000  kvzip_hkvd=0.083  kvzip_gated=0.235  Δ(g-h)=+0.152
[75/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[76/118] full=0.250  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[77/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[78/118] full=0.545  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[79/118] full=1.000  kvzip_hkvd=0.444  kvzip_gated=0.000  Δ(g-h)=-0.444
[80/118] full=1.000  kvzip_hkvd=0.182  kvzip_gated=0.000  Δ(g-h)=-0.182
[81/118] full=0.250  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[82/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[83/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[84/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[85/118] full=1.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[86/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[87/118] full=0.769  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[88/118] full=0.200  kvzip_hkvd=0.000  kvzip_gated=0.143  Δ(g-h)=+0.143
[89/118] full=0.500  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[90/118] full=0.500  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[91/118] full=0.364  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[92/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[93/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[94/118] full=0.667  kvzip_hkvd=0.080  kvzip_gated=0.080  Δ(g-h)=+0.000
[95/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[96/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[97/118] full=0.500  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[98/118] full=0.667  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[99/118] full=0.000  kvzip_hkvd=0.500  kvzip_gated=0.500  Δ(g-h)=+0.000
[100/118] full=0.400  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[101/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[102/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[103/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[104/118] full=0.571  kvzip_hkvd=0.133  kvzip_gated=0.133  Δ(g-h)=+0.000
[105/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[106/118] full=1.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[107/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[108/118] full=1.000  kvzip_hkvd=0.077  kvzip_gated=0.111  Δ(g-h)=+0.034
[109/118] full=0.333  kvzip_hkvd=0.000  kvzip_gated=0.167  Δ(g-h)=+0.167
[110/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[111/118] full=0.615  kvzip_hkvd=0.250  kvzip_gated=0.421  Δ(g-h)=+0.171
[112/118] full=0.444  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[113/118] full=1.000  kvzip_hkvd=0.061  kvzip_gated=0.167  Δ(g-h)=+0.106
[114/118] full=1.000  kvzip_hkvd=0.087  kvzip_gated=0.500  Δ(g-h)=+0.413
[115/118] full=1.000  kvzip_hkvd=0.308  kvzip_gated=0.167  Δ(g-h)=-0.141
[116/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[117/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
[118/118] full=0.000  kvzip_hkvd=0.000  kvzip_gated=0.000  Δ(g-h)=+0.000
